#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
62,Luisito Comunica @UCECJDeK0MNapZbpaOzxrUPA,38.5M,0.10%,,,11.6M,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,45600000,11550947982,1465
63,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,India,Music Celebrity,11.6M,UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music,52900000,27858925934,6303
64,TheEllenShow @UCp0hYYBW6IMayGgR-WeoCvQ,38.3M,-,United States,,11.5M,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,38000000,23744951637,18856
65,Toys and Colors @UCgFXm4TI8htWmCyJ6cVPG_A,38.3M,-,United States,,11.5M,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,82200000,1.16419E+11,1776
66,Kimberly Loaiza @UCQZfFRohQ7UX-0CdXl-6pwQ,38.1M,0.90%,Mexico,,11.4M,UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,47400000,7363912690,314
67,WorkpointOfficial @UC3ZkCd7XtUREnjjt3cyY_gg,38.1M,-,Thailand,,11.4M,UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial,43600000,43042211149,116027
68,XXXTENTACION @UCM9r1xn6s30OnlJWb-jc3Sw,37.8M,0.10%,United States,,11.3M,UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION,42800000,12413768335,137
69,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,Canada,Travel,11.2M,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,46000000,60769227815,872
70,Shakira @UCYLNGLIzMhRTi6ZOLjAPSmw,37.1M,-,,,11.1M,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,50000000,35553712013,404
71,GR6 EXPLODE @UCNUQK9mQoqi4yNXw2_Rj6SA,37.1M,-,,,11.1M,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,42900000,31872641972,3626
72,Daddy Yankee @UC9TO_oo4c_LrOiKNaY6aysA,37M,-,United States,Music,11.1M,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,41200000,27631655409,588
73,shfa @UCwHE1kM1CPJd_pI9FQ0-4dg,36.1M,0.10%,United Arab Emirates,,10.8M,UCwHE1kM1CPJd_pI9FQ0-4dg,shfa,55700000,35779440617,1357
74,ช่อง one31 @UC8f7MkX4MFOOJ2SerXLInCA,35.9M,-,Thailand,,10.8M,UC8f7MkX4MFOOJ2SerXLInCA,ช่อง one31,44500000,34448934010,201054
75,shfa2 - شفا @UCQ7x25F6YXY9DvGeHFxLhRQ,35.6M,-,United Arab Emirates,,10.7M,UCQ7x25F6YXY9DvGeHFxLhRQ,shfa2 - شفا,53300000,37407953603,2045
76,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M,UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune,48900000,21859042751,3744
77,TEDx Talks @UCsT0YIqwnpJCM-mx7-gSA4Q,35.5M,-,,,10.7M,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,44200000,8833968063,256179
78,Ozuna @UCjIA3wwhi0QjSOXAZwOXbPA,35.2M,0.40%,Puerto Rico,Celebrity Music,10.6M,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,38000000,28449532407,287
79,YouTube @youtube.com,35.1M,-,United States,,10.5M,youtube.com,,,,
80,Masha and The Bear @UCu59yAFE8fM0sVNTipR4edw,35.1M,-,United States,,10.5M,UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear,54700000,35693939411,2252
81,Bruno Mars @UCoUM-UJ7rirJYP8CQ0EIaHA,34.8M,0.20%,,,10.4M,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,43200000,24923221115,120
82,Jkk Entertainment @UC5tuYcCdiKuF5Y2ZonuarwA,34.5M,0.20%,,,10.4M,UC5tuYcCdiKuF5Y2ZonuarwA,Jkk Entertainment,38700000,17778560609,287
83,Maria Clara & JP @UCKe6w0exI94U-RzqAyoY1VA,33.8M,0.10%,Brazil,,10.1M,UCKe6w0exI94U-RzqAyoY1VA,Maria Clara & JP,50100000,34896028283,1170
84,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M,UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,40900000,28839178517,9570
85,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.20%,India,Video Gaming,10.1M,UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming,45500000,5068251015,570
86,J Balvin @UCt-k6JwNWHMXDBGm9IYHdsg,33.6M,-,Colombia,,10.1M,UCt-k6JwNWHMXDBGm9IYHdsg,J Balvin,35200000,27136827386,384
